clean,created_at,extended_tweet.full_text,id,text
"it is sad that i can not have a friends to lovers arc with a guy best friend where we both figure out our sexualities and fall in love because i already figured out I am gay 😞  yes, I am not nearly as depressed and my life is exponentially better  BUT I WANT THE FRIENDS TO LOVERS ARC",Sun Mar 21 18:41:45 +0000 2021,"it’s sad that i can’t have a friends to lovers arc with a guy best friend where we both figure out our sexualities and fall in love because i already figured out i’m gay 😞

yes, i’m not nearly as depressed and my life is exponentially better

BUT I WANT THE FRIENDS TO LOVERS ARC",1373706412010962950,it’s sad that i can’t have a friends to lovers arc with a guy best friend where we both figure out our sexualities… https://t.co/9a7ju1s55x
7-8 years have passed and vernon still loves to play with cameras &amp; doing his own squishing sound effect 😞 ,Sun Mar 21 18:41:49 +0000 2021,,1373706429354418176,RT @noniespancake: 7-8 years have passed and vernon still loves to play with cameras &amp; doing his own squishing sound effect 😞 https://t.co/…
I was just thinking that was the most unexpected tweet of the year ... Then I realised I was confusing you with  😞,Sun Mar 21 18:41:51 +0000 2021,,1373706436501516291,@EmmaKennedy I was just thinking that was the most unexpected tweet of the year ... Then I realised I was confusing you with @Emmabarnett 😞
"I asked my friend to stay for dinner but he said he feels depressed 😢 told him brother, niece, nephew &amp; sister n law were coming (because he knows them) he still declined. I am so sad he feels that way 😞",Sun Mar 21 18:41:54 +0000 2021,"I asked my friend to stay for dinner but he said he feels depressed 😢 told him brother, niece, nephew &amp; sister n law were coming (cause he knows them) he still declined. I'm so sad he feels that way 😞",1373706451596812292,"I asked my friend to stay for dinner but he said he feels depressed 😢 told him brother, niece, nephew &amp; sister n la… https://t.co/qILH1LKSDL"
how does it even ended up there 😞,Sun Mar 21 18:41:56 +0000 2021,,1373706459947487235,@yedamstoes how does it even ended up there 😞
i think i spammed too much 😞,Sun Mar 21 18:41:58 +0000 2021,,1373706468390621184,i think i spammed too much 😞
yeah it is rlly sad 😞,Sun Mar 21 18:42:01 +0000 2021,,1373706478029316103,"@dontcomeforme04 yeah it's rlly sad 😞"
Swears man. I am genuinely sad rn 😞,Sun Mar 21 18:42:03 +0000 2021,,1373706487000875013,Swears man. I’m genuinely sad rn 😞
i honestly do not get myself but i think I am getting better maybe 😞 i feel like me being myself becomes too boring or plain,Sun Mar 21 18:42:05 +0000 2021,,1373706494298914816,"@JeontroWhen i honestly don't get myself but i think im getting better maybe 😞 i feel like me being myself becomes too boring or plain"
Pleased to see Vini being given a chance but gutted that Toby is ill 😞,Sun Mar 21 18:42:05 +0000 2021,,1373706495402110983,@SpursOfficial Pleased to see Vini being given a chance but gutted that Toby is ill 😞
"like, what if...... 😞",Sun Mar 21 18:42:08 +0000 2021,,1373706507439644672,"like, what if...... 😞"
the way we were robbed of a romance there 😞,Sun Mar 21 18:42:08 +0000 2021,,1373706508819693586,@LadyLaveIlan the way we were robbed of a romance there 😞
my poor bebek looked so disappointed... 😞,Sun Mar 21 18:42:10 +0000 2021,,1373706518311407621,@Natt_natti89 my poor bebek looked so disappointed... 😞
your throne will not update biweekly anymore 😞,Sun Mar 21 18:42:10 +0000 2021,,1373706518466600966,your throne won’t update biweekly anymore 😞
2 mistakes 2 goals we made it so easy for Leicester ..our attitude is so poor no desire or hunger to get through 😞,Sun Mar 21 18:42:10 +0000 2021,,1373706518395166720,2 mistakes 2 goals we made it so easy for Leicester ..our attitude is so poor no desire or hunger to get through 😞
"I am Shaadi. Com for today, quote with your  picture that you going to put up for your rishtas💅🥳 💋here is mine 😞 ",Sun Mar 21 18:42:11 +0000 2021,,1373706521033371648,"RT @idlisambharr: I am Shaadi. Com for today, quote with your  picture that u gonna put up for your rishtas💅🥳 💋heres mine 😞 https://t.co/Tb…"
Lemme heal first. I am still hurt 😞,Sun Mar 21 18:42:11 +0000 2021,,1373706521360670728,@sandrahboateng Lemme heal first. I’m still hurt 😞
hello 😞,Sun Mar 21 18:42:22 +0000 2021,,1373706565719625729,hello 😞
i got an album today but i already want to buy another one 😞,Sun Mar 21 18:42:26 +0000 2021,,1373706584103260167,i got an album today but i already wanna buy another one 😞
I know 😞,Sun Mar 21 18:42:26 +0000 2021,,1373706585571221505,@Saint_Gerrard I know 😞
Mane this man so sexy 😞 #Tupac ,Sun Mar 21 18:42:28 +0000 2021,,1373706591678164994,Mane this man so sexy 😞 #Tupac https://t.co/Bxd4pqAqtA
Sad times 😞,Sun Mar 21 18:42:29 +0000 2021,,1373706597281632258,@LahkanYT Sad times 😞
I am so sorry! 😞 I am sending you and your family so much love right now 💗,Sun Mar 21 18:42:31 +0000 2021,,1373706606538543104,@obaneliastreet I’m so sorry! 😞 I’m sending you and your family so much love right now 💗
the introvert extrovert ship dynamic 😞,Sun Mar 21 18:42:36 +0000 2021,,1373706624217530370,@feigiro the introvert extrovert ship dynamic 😞
